Ｎｅｗ		1A0AENG ◼  GER ◼  MW  ◼  RAD ◼  OPP ◼   INFORMATION 1A0PSTROKES: (0)  CLASSIFIER:  VARIANTS:  RELATIVES:  WORDS:  DISTINGUISH:  DICTIONARY ENTRIES:   ·    CHARACTER MEANING 1A0PCOMPONENTS:  MNEOMICS:  COMPONENT USAGE:  ORIGINS:    ANCIENT FORM:AA10  A0PAA00https://zi.tools/zi/又
讠[訁]	yan2	1A0ARAD ◼ simplified component-only form of KangXi radical Nr. 149: speech   INFORMATION 1A0PSTROKES: (2) 񄪮 񄪯 VARIANTS: 言 · 訁 RELATIVES: 说 · 谁 · 话 DISTINGUISH: 饣· 辶  CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 言 MNEOMICS: button that says i for information that speaks words when pressed COMPONENT USAGE: ◼ NOT a stand-alone character ◼ speech ◼ interaction ◼ word ◼ sound ORIGINS: 讠 is a component form of 言, which was originally 舌 (tongue) with an added mark, possibly indicating movement. Its original meaning is speech. In Simplified Chinese, 讠 replaces 言 when it's placed on the left side, not when it appears on the bottom.   ANCIENT FORM:AA10񂒥񄄧  A0PAA00https://zi.tools/zi/讠  
广	yan3	 1A0ARAD ◼ KangXi radical Nr. 53: dotted cliff, house on a cliff   INFORMATION 1A0PSTROKES: (3) 񁉮 񁉯 񁉰  VARIANTS:  宀 RELATIVES: 廣 ·  店 · 床 · 庵 DISTINGUISH:   CHARACTER MEANING 1A0PCOMPONENTS:  广 MNEOMICS: house on a hill with a wide/broad view of numerous things  COMPONENT USAGE: ◼ NOT a standalone character (in Traditional Chinese) ◼ (simple) buildings ◼ places  ORIGINS: 广 is a picture of a building or a hut. It is a simpler housing than 宀, probably because it is missing a fourth wall (on the right side). In Simplified Chinese, 广 [guǎng] replaces 廣 by omitting 黃.    ANCIENT FORM:AA10  A0PAA00https://zi.tools/zi/广
一	yi1	1A0AENG ◼ 1, one, unit ◼ single, uniform ◼ a, an (article) ◼ once, as soon as ◼ entire, whole, all ◼ throughout ◼ pr. yāo for greater clarity when spelling out numbers digit by digit. GER ◼ eins ◼ sobald  RAD ◼ KangXi radical Nr. 1: one    INFORMATION 1A0PSTROKES: (1) 񃧃   VARIANTS: 弌/壹 (financial)  RELATIVES: 二 · 三  DISTINGUISH: 乛 · 亠 · 冖 · 宀  GRAMMAR DICTIONARY ENTRIES:  一二三四五六七八九十  CHARACTER MEANING 1A0PCOMPONENTS: 一  MNEOMICS: one thing  COMPONENT USAGE: ◼ one ◼ form component, e.g, horizont ORIGINS: 一 depicts the original meaning “one” via a single horizontal line.   ANCIENT FORM:AA10񃧁  A0PAA00https://zi.tools/zi/一
乙[乙]	yi3	1A0AENG ◼ second of the ten Heavenly Stems (天干) ◼ second in order GER ◼ der zweite Himmelstamm des chinesischen Kalenders  RAD ◼ KangXi radical Nr. 5: second ◼ aka 折 [zhé]  INFORMATION 1A0PSTROKES: (1) 񂡡 RELATIVES: 亿 · 艺  DISTINGUISH: 己   CHARACTER MEANING 1A0PCOMPONENTS: 乙 COMPONENT USAGE: ◼ as sound component ORIGINS: 乙 depicts a small stream of water.  ANCIENT FORM:AA10񂡟  A0PAA00https://zi.tools/zi/乙
阝[阝]	yi4	1A0ARAD ◼ component-only right-side form of KangXi radical Nr. 163: city [yì] ◼ component-only left-side form of KangXi radical Nr. 170: mound (can not find examples) [fù]  INFORMATION 1A0PSTROKES: (2) 񄋉 񄋊 VARIANTS: 邑 · 񁍍 RELATIVES: 那 DISTINGUISH: 阝   CHARACTER MEANING 1A0PCOMPONENTS: 邑 MNEOMICS: a flag that marks a border between countries/districts COMPONENT USAGE: ◼ right-side: country, district, city ORIGINS: 阝 has two origin stories. Based on which side the component is located in the character, a different meaning is placed on it. When on the left side, it is derived from 阜 (mound). On the right side it  stems from 邑 (city).  ANCIENT FORM:AA10񄋇  A0PAA00https://zi.tools/zi/阝
又[又]	you4	1A0AENG ◼ again, and, also, in addition ◼ furthermore ◼ and (used in a mixed fraction such as one and three fourths)  GER ◼ wieder, noch einmal ◼ dazu RAD ◼ KangXi radical Nr. 29: again  INFORMATION 1A0PSTROKES: (2) 񅉻 񅉼  VARIANTS: 寸  RELATIVES: 友 · 反 · 对  DISTINGUISH: 攵 · 文  GRAMMAR DICTIONARY ENTRIES: 又＿又 · 又＿了 · 又不 · 又没  又是 · 又要 · 又可以 · 又能 · 又得   CHARACTER MEANING 1A0PCOMPONENTS: ⼜  MNEOMICS: right hand fingers were chopped off twice (again and again)  COMPONENT USAGE: ◼ things done by man or with one's hand (similar to 手)   ORIGINS: 又 is a picture of a right hand with three fingers. The original meaning is "right hand". Later, the character 又 was borrowed as 再 or 更.  ANCIENT FORM:AA10񅉹  A0PAA00https://zi.tools/zi/又 
玉	yu4	1A0AENG ◼ jade, precious stone, gem ◼ precious, valuable, luxurious ◼ pure; beautiful ◼ you, your (polite, courteous)  GER ◼ Jade  RAD ◼ KangXi radical Nr. 96: jade  INFORMATION  1A0PSTROKES: (5) 񅁒 񅁓 񅁔 񅁕 񅁖  VARIANTS: 𤣩   RELATIVES: 宝  DISTINGUISH: 王  CHARACTER MEANING 1A0PCOMPONENTS: 玉  MNEOMICS: precious objects 丶 of a king 王  COMPONENT USAGE: ◼ gems ◼ precious/valuable things ORIGINS: 玉 depicts three pieces of jade strung together, hance the original meaning of jade. When it appears as a component on the left-hand side, 玉 is written 𤣩.  ANCIENT FORM:AA10񅁐  A0PAA00https://zi.tools/zi/玉
元[元]	yuan2	1A0AENG ◼ first, primary ◼ (key) element, essential factor ◼ unit, part GER ◼ primär MW  ◼ monetary unit of China   INFORMATION 1A0PSTROKES: (4) 񃴽 񃴿 񃵀 񃵁 CLASSIFIER:  VARIANTS: 圆 RELATIVES:  园 · 远 WORDS: 多元 · 单元 · 元素 · 欧元 DISTINGUISH: 亓   CHARACTER MEANING 1A0PCOMPONENTS: 一 · 兀 ◼ 一 [yī]: empty: emphasize the person’s head ◼ 兀 [wù]: form: a person with the head emphasized MNEOMICS: The head of a person is the most important (primary) part of the body. It is essential for everything. COMPONENT USAGE:  ORIGINS: 元 indicates the original meaning “a person’s head” by drawing a person with the head emphasized (兀), then adding a mark (一) next to the head.  Today it is used as a shorthand (non-official) form of 圆 due to the identical sound.   ANCIENT FORM:AA10񃴻  A0PAA00https://zi.tools/zi/元
月	yue4	1A0AENG ◼ moon ◼ month ◼ round GER ◼ Mond ◼ Monat ◼ rund RAD ◼ KangXi radical Nr. 74: moon ◼ identical to component-only form 񰀷 of the KangXi radical Nr. 130: meat  INFORMATION 1A0PCLASSIFIER: gè [个] / lún [轮] STROKES: (4) 񃠺 񃠻 񃠼 񃠽 VARIANTS:   RELATIVES: 朖 · 期 · 明 · 有 · 背 · 多  DISTINGUISH: 񰀷  GRAMMAR DICTIONARY ENTRIES:  ＿年＿月＿日 · ＿年＿月＿号   CHARACTER MEANING 1A0PCOMPONENTS: 月  MNEOMICS: the moon is every month in the same position  COMPONENT USAGE: ◼ moon ◼ month, lunar phases ◼ friendship or romance ORIGINS: 月 depicts the (crescent) moon. Based on the lunar cycle of waxing and waning, the character 月 later came to mean the month of the year in the calendar. Originally,  月 and 夕 were indistinguishable. Later on, to seperate them into two different characters, a point in the shape of the moon was used to represent 月.   ANCIENT FORM:AA10񃠸  A0PAA00https://zi.tools/zi/月
丶[丶]	zhu3	1A0ARAD ◼ KangXi radical Nr. 3: dot ◼ aka 点 [diǎn]  INFORMATION 1A0PSTROKES: (1) 丶   CHARACTER MEANING 1A0PCOMPONENT USAGE: ◼ NOT a stand-alone character  A0PAA00https://zi.tools/zi/丶
子	zi3	1A0AENG ◼ son, offspring, child ◼ seed ◼ small thing  GER ◼ Sohn, Kind  RAD ◼ KangXi radical Nr. 39: child ◼ identical to 子 [zi]   INFORMATION 1A0PCLASSIFIER: gè [个] / wèi [位]  STROKES: (3) 񃥿 񃦀 񃦁  VARIANTS: 㜽 (ancient)  WORDS: 子女 · 王子 · 子儿 RELATIVES: 学 · 好  DISTINGUISH:    CHARACTER MEANING  1A0PCOMPONENTS: 子  MNEOMICS: A baby with wailing arms and a big head  COMPONENT USAGE: ◼ life and a child's role in the family ORIGINS: 子 depicts a child, which is the original meaning.   ANCIENT FORM:AA10񃥽  A0PAA00https://zi.tools/子
子[子]	zi5	1A0AENG ◼ (diminutive) noun suffix  GER ◼ Substantiv-Suffix  RAD ◼ identical to KangXi radical Nr. 39: child [zǐ] INFORMATION 1A0PSTROKES: (3) 񃥿 񃦀 񃦁  VARIANTS:   WORDS: 儿子 · 鼻子 · 桌子  DISTINGUISH:    CHARACTER MEANING 1A0PCOMPONENTS: 子  MNEOMICS: A baby with wailing arms and a big head is a small thing  COMPONENT USAGE: ◼ small things  ORIGINS: 子 depicts a child, which is the original meaning.   ANCIENT FORM:AA10񃥽  A0PAA00https://zi.tools/zi/子
