Ｎｅｗ		1A0AENG ◼  GER ◼  MW  ◼  RAD ◼  OPP ◼   INFORMATION 1A0PSTROKES: (0)  CLASSIFIER:  VARIANTS:  RELATIVES:  WORDS:  DISTINGUISH:  DICTIONARY ENTRIES:   ·    CHARACTER MEANING 1A0PCOMPONENTS:  MNEOMICS:  COMPONENT USAGE:  ORIGINS:    ANCIENT FORM:AA10  A0PAA00https://zi.tools/zi/又
干[幹]	gan4	1A0AENG ◼ do, work, manage ◼ (tree) trunk, stem, main part ◼ capable, able, talented ◼ annoyed RAD ◼ simplified = KangXi radical Nr. 51: shield, dry   INFORMATION 1A0PSTROKES: (3) 񃲒 񃲓 񃲔 VARIANTS: 幹 (traditional) · 榦 (ancient) WORDS: 干什么 DISTINGUISH: 干 [gān] · 干/乾 [gān]   CHARACTER MEANING 1A0PCOMPONENTS: 干 · 幹/榦 ◼ 倝 [gàn]: sound ◼ 木 [mù]: meaning: tree, wood ◼ 干 [gān]: sound MNEOMICS: farmer 人 holding his tool 干 watching the sun 日 rise 倝 behind a tree trunk 幹 COMPONENT USAGE:  ORIGINS: 幹 gàn was originally composed of 倝 and 木. The original meaning is “an upright post used when building earthen walls”. Later, 木 was corrupted via phoneticization into 干 gān, which is also the simplified Chinese form.干 is also used to abbreviate the character 乾.   ANCIENT FORM:AA10񲇄񃲐  A0PAA00https://zi.tools/zi/干 https://zi.tools/zi/幹 https://zi.tools/zi/榦
高[高]	gao1	1A0AENG ◼ high, tall ◼ above average, high level, advanced ◼ expensive, costly ◼ loud, high-pitched ◼ your (honorific) GER ◼ groß, hoch RAD ◼ KangXi radical Nr. 189: tall OPP ◼ 低  INFORMATION 1A0PSTROKES: (10) 񵍹 񵍺 񵍻 񵍼 񵍽 񵍾 񵍿 񵎀 񵎁 񵎂 CLASSIFIER:  VARIANTS: 髙 (not used) RELATIVES: 嵩 DISTINGUISH:   CHARACTER MEANING 1A0PCOMPONENTS: 高 MNEOMICS: house on a hill; a high building COMPONENT USAGE: ◼ mostly sound component ◼ high, tall ORIGINS: 高 depicts a tall building, hence the original meaning of tall or lofty.  ANCIENT FORM:AA10񵍷  A0PAA00https://zi.tools/zi/高
广[廣]	guang3	1A0AENG ◼ wide, broad, vast ◼ numerous ◼ extensive GER ◼ breit, umfangreich, weit  RAD ◼ Simplified form 广 is identical to KangXi radical Nr. 53: dotted cliff [yǎn]    INFORMATION 1A0PCLASSIFIER: gè [个]  STROKES: (3) 񁉮 񁉯 񁉰 (12) 񱳕 񱳖 񱳗 񱳘 񱳙 񱳚 񱳛 񱳜 񱳝 񱳞 񱳟 񱳠  VARIANTS: 広 (Japan)  RELATIVES: 曠 WORDS: 广大 · 广场  DISTINGUISH:   CHARACTER MEANING 1A0PCOMPONENTS: 广 · 黃  ◼ 广 [yǎn]: meaning: simple building  ◼ 黃 [huáng]: sound MNEOMICS: house on a hill with a wide/broad view of numerous things  COMPONENT USAGE: ◼ mostly sound component ORIGINS:  廣 shows a large hall with a roof, but no walls. The radical 广 hints towards it being a simple building with missing walls. In Simplified Chinese, 广 replaces then 廣 by omitting 黃.   ANCIENT FORM:AA10񁉫  A0PAA00https://zi.tools/zi/广 https://zi.tools/zi/廣
丨[丨]	gun3	1A0ARAD ◼ KangXi radical Nr. 2: line ◼ aka 竖笔 [shùbǐ]  INFORMATION 1A0PSTROKES: (1) 丨 DISTINGUISH: 亅   CHARACTER MEANING 1A0PCOMPONENTS:  COMPONENT USAGE: ◼ NOT a stand-alone character  ORIGINS: It looks like the suzhou numeral one | (a variation of the Southern Song rod numerals). A0PAA00https://zi.tools/zi/丨
禾	he2	1A0AENG ◼ cereal ◼ grain GER ◼ Getreide ◼ Korn RAD ◼ KangXi radical Nr. 115: grain   INFORMATION 1A0PSTROKES: (5) 񴱳 񴱴 񴱵 񴱶 񴱷 VARIANTS:   RELATIVES: 和 · 利 · 科 · 税  DISTINGUISH: 釆 · 米 · 木   CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 禾 MNEOMICS: represents a sheath of grain with a sagging head  COMPONENT USAGE: ◼ grains ◼ farming, harvesting ORIGINS: 禾 is a picture of a millet plant with its ears drooping under the weight of its mature grain. The original meaning is therefore grain or millet.   ANCIENT FORM:AA10񴱱  A0PAA00https://zi.tools/zi/禾
火[火]	huo3	1A0AENG ◼ fire, flame, burn ◼ anger, rage, temper ◼ urgent ◼ firearms, ammunition ◼ fiery or flaming ◼ hot or popular  GER ◼ Feuer, Flamme ◼ Feuerwaffe ◼ glühen ◼ eilig ◼ Zorn, Ärger  MW  ◼ (old) military units  RAD ◼ KangXi radical Nr. 86: fire   INFORMATION 1A0PSTROKES: (4) 񃋐 񃋑 񃋒 񃋓  VARIANTS: 灬  RELATIVES: 伙  DISTINGUISH:    CHARACTER MEANING 1A0PCOMPONENTS: 火 MNEOMICS: a fire with sparks  COMPONENT USAGE: ◼ light ◼ heat ◼ fire and actions related to fire like cooking ORIGINS: 火 is a picture of fire, hence the original meaning of fire or flame. As a component on the bottom of a character, it is often written 灬.    ANCIENT FORM:AA10񃋎  A0PAA00https://zi.tools/zi/火
灬[灬]	huo3	1A0ARAD ◼ component-only form og KangXi radical Nr. 86: fire  INFORMATION 1A0PSTROKES: (4) 񃙰 񃙱 񃙲 񃙳 VARIANTS: 火  RELATIVES: 热 DISTINGUISH:    CHARACTER UNDERSTANDING 1A0PCOMPONENTS:  MNEOMICS: a fire pit COMPONENT USAGE: ◼ NOT a standalone character ◼ light ◼ heat ◼ fire and actions related to fire like cooking ORIGINS: 灬 is a component form of 火, which is a picture of fire.   ANCIENT FORM:AA10񃋎  A0PAA00https://zi.tools/zi/灬
几[几]	ji1	1A0AENG ◼ (small) table GER ◼ kleiner Tisch, Tischchen RAD ◼ KangXi radical Nr. 16: table  INFORMATION 1A0PSTROKES: (2) 񂝰 񂝱 VARIANTS: 凡 凭 凰 凱 凳 RELATIVES: 凭 · 凳 WORDS: 几儿 DISTINGUISH: 几 [jǐ]  CHARACTER MEANING 1A0PCOMPONENTS: 几 MNEOMICS: a table COMPONENT USAGE: ◼ table ORIGINS: 几 depicts a table. In simplified Chinese it replaces 幾 [jǐ]   ANCIENT FORM:AA10񂝮  A0PAA00https://zi.tools/zi/几
几[幾]	ji3	1A0AENG ◼ how much/many ◼ several, a few GER ◼ wie viele RAD ◼ simplified form is identical to KangXi radical Nr. 16: table  INFORMATION 1A0PSTROKES: (12)  WORDS: 几天 · 几百 · 几岁 · 几点 · 几年几月几号 DISTINGUISH: 几 [jī] DICTIONARY ENTRIES:  几月几号 · ＿几＿   CHARACTER MEANING 1A0PCOMPONENTS: 𢆶 · 戈 · 人 ◼ 𢆶 [yōu]: form: silk ropes ◼ 戈 [gē]: form: spear ◼ 人 [rén]: form: person MNEOMICS: how many things can fit on such a small table COMPONENT USAGE: ◼ as sound component ORIGINS: 幾 depicts a person (人) trapped in silk ropes (𢆶) being cut free by a spear (戈), indicating the original meaning “great danger”. Its modern meaning “a few; how many” is via sound loan.  In simplified Chinese it is replaced by 几.   ANCIENT FORM:AA10񰪎  A0PAA00https://zi.tools/zi/又 https://zi.tools/zi/幾
见[見]	jian4	1A0AENG ◼ see, catch sight of ◼ meet ◼ to appear (to be sth) ◼ to interview ◼ opinion, view GER ◼ sehen, erblicken ◼ treffen RAD ◼ simplified form is KangXi radical Nr. 147: see   INFORMATION 1A0PSTROKES: (4) 񂄕 񂄖 񂄗 񂄘 VARIANTS: 見 (traditional) RELATIVES: 覬 視 親 覺 覽 DISTINGUISH: 贝 · 貝  DICTIONARY ENTRIES: 看见 · 听见  CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 见 · 目 · 儿 ◼ 目 [mù]: form: eye ◼ 儿 [rén]: form: person (人) MNEOMICS: a man with an eye for the head; a person looking through a window COMPONENT USAGE: ◼ to see ◼ attirbutes and actions attributed to perception, seeing, and inspection ORIGINS: 见 depicts a person (儿) with an enlarged eye (originally 目, now simplified), emphasizing the original meaning to see. 见 replaces 見 in Simplified Chinese.   ANCIENT FORM:AA10񂄓񁃎  A0PAA00https://zi.tools/zi/见 AA00https://zi.tools/zi/見
